Date,Price,Open,High,Low,Vol.,Change %
2/3/2021,7.757,7.7564,7.7589,7.7557,8.78K,0.01%
1/3/2021,7.7562,7.7566,7.759,7.7555,7.93K,0.00%
26/02/2021,7.7564,7.7541,7.7575,7.7538,9.59K,0.03%
25/02/2021,7.754,7.7548,7.7552,7.7534,8.15K,-0.01%
24/02/2021,7.7546,7.7537,7.7555,7.7531,6.66K,0.01%
23/02/2021,7.7537,7.7536,7.7542,7.7529,6.90K,0.01%
22/02/2021,7.7533,7.7533,7.754,7.7527,7.06K,0.00%
19/02/2021,7.7532,7.7529,7.7538,7.7524,7.27K,0.01%
18/02/2021,7.7527,7.7527,7.7531,7.7522,6.33K,0.00%
17/02/2021,7.7524,7.7524,7.7531,7.7521,6.04K,0.00%
16/02/2021,7.7521,7.7527,7.7531,7.752,6.06K,-0.01%
15/02/2021,7.7525,7.7529,7.7533,7.7523,5.72K,-0.01%
12/2/2021,7.7529,7.7529,7.7533,7.7524,4.77K,0.00%
11/2/2021,7.7527,7.7522,7.7532,7.7521,5.22K,0.01%
10/2/2021,7.7522,7.7517,7.7527,7.7516,6.11K,0.01%
9/2/2021,7.7516,7.7523,7.7526,7.7515,6.59K,-0.01%
8/2/2021,7.7522,7.7529,7.7534,7.7519,6.02K,-0.01%
5/2/2021,7.7527,7.7527,7.7533,7.752,7.23K,0.00%
4/2/2021,7.7527,7.7516,7.753,7.7512,7.19K,0.02%
3/2/2021,7.7515,7.7517,7.7519,7.7509,6.20K,0.00%
2/2/2021,7.7514,7.753,7.7533,7.7513,6.96K,-0.02%
1/2/2021,7.7526,7.753,7.7535,7.7523,7.24K,0.00%
29/01/2021,7.7528,7.7527,7.7541,7.7522,8.64K,0.00%
28/01/2021,7.7525,7.752,7.7536,7.7516,8.81K,0.01%
27/01/2021,7.7519,7.752,7.7527,7.7513,8.49K,0.00%
26/01/2021,7.7519,7.7516,7.7532,7.7509,8.83K,0.01%
25/01/2021,7.7512,7.7523,7.7526,7.7511,7.89K,-0.01%
22/01/2021,7.7519,7.7517,7.7527,7.7515,6.50K,0.01%
21/01/2021,7.7515,7.7519,7.7522,7.7514,6.52K,0.00%
20/01/2021,7.7517,7.7523,7.7526,7.7513,6.24K,-0.01%
19/01/2021,7.7523,7.7534,7.7536,7.7515,7.04K,-0.01%
18/01/2021,7.7534,7.754,7.7543,7.753,6.26K,-0.01%
15/01/2021,7.7538,7.7537,7.7547,7.753,6.85K,0.00%
